,item,pr_tb_id,tb_id0
0,1,1.0,1.0
1,2,2.0,2.0
2,3,3.0,3.0
3,4,1.0,1.0
4,5,4.0,4.0
5,0,0.0,161.0
6,6,5.0,5.0
7,7,6.0,6.0
8,8,7.0,7.0
9,9,2.0,2.0
10,10,8.0,8.0
11,11,3.0,3.0
12,12,2.0,2.0
13,13,9.0,9.0
14,14,10.0,10.0
15,15,11.0,11.0
16,16,12.0,12.0
17,17,10.0,10.0
18,18,6.0,6.0
19,19,13.0,13.0
20,20,14.0,14.0
21,21,6.0,6.0
22,22,15.0,15.0
23,23,8.0,8.0
24,24,1.0,1.0
25,25,16.0,16.0
26,26,4.0,4.0
27,27,8.0,8.0
28,28,1.0,1.0
29,29,12.0,12.0
30,30,4.0,4.0
31,31,1.0,1.0
32,32,17.0,17.0
33,33,14.0,14.0
34,34,12.0,12.0
35,35,18.0,18.0
36,36,16.0,16.0
37,37,2.0,2.0
38,38,2.0,2.0
39,39,14.0,14.0
40,40,19.0,19.0
41,41,5.0,5.0
42,42,20.0,20.0
43,43,10.0,10.0
44,44,16.0,16.0
45,45,9.0,9.0
46,46,21.0,21.0
47,47,20.0,20.0
48,48,7.0,7.0
49,49,7.0,7.0
50,50,17.0,17.0
51,51,12.0,12.0
52,52,9.0,9.0
53,53,8.0,8.0
54,54,17.0,17.0
55,55,16.0,16.0
56,56,7.0,7.0
57,57,16.0,16.0
58,58,20.0,20.0
59,59,10.0,10.0
60,60,22.0,22.0
61,61,7.0,7.0
62,62,5.0,5.0
63,63,4.0,4.0
64,64,16.0,16.0
65,65,3.0,3.0
66,66,14.0,14.0
67,67,3.0,3.0
68,68,7.0,7.0
69,69,17.0,17.0
70,70,4.0,4.0
71,71,14.0,14.0
72,72,23.0,23.0
73,73,12.0,12.0
74,74,17.0,17.0
75,75,4.0,4.0
76,76,3.0,3.0
77,77,24.0,24.0
78,78,1.0,1.0
79,79,20.0,20.0
80,80,6.0,6.0
81,81,10.0,10.0
82,82,2.0,2.0
83,83,10.0,10.0
84,84,8.0,8.0
85,85,3.0,3.0
86,86,5.0,5.0
87,87,20.0,20.0
88,88,20.0,20.0
89,89,9.0,9.0
90,90,5.0,5.0
91,91,12.0,12.0
92,92,17.0,17.0
93,93,9.0,9.0
94,94,9.0,9.0
95,95,6.0,6.0
96,96,5.0,5.0
97,97,6.0,6.0
98,98,8.0,8.0
99,99,25.0,25.0
100,100,26.0,26.0
101,101,27.0,27.0
102,102,28.0,28.0
103,103,29.0,29.0
104,104,30.0,30.0
105,105,31.0,31.0
106,106,32.0,32.0
107,107,33.0,33.0
108,108,32.0,32.0
109,109,34.0,34.0
110,110,35.0,35.0
111,111,36.0,36.0
112,112,35.0,35.0
113,113,37.0,37.0
114,114,38.0,38.0
115,115,35.0,35.0
116,116,37.0,37.0
117,117,39.0,39.0
118,118,32.0,32.0
119,119,35.0,35.0
120,120,35.0,35.0
121,121,31.0,31.0
122,122,37.0,37.0
123,123,32.0,32.0
124,124,40.0,40.0
125,125,37.0,37.0
126,126,31.0,31.0
127,127,41.0,41.0
128,128,37.0,37.0
129,129,37.0,37.0
130,130,42.0,42.0
131,131,43.0,43.0
132,132,32.0,32.0
133,133,35.0,35.0
134,134,38.0,38.0
135,135,37.0,37.0
136,136,31.0,31.0
137,137,31.0,31.0
138,138,44.0,44.0
139,139,45.0,45.0
140,140,46.0,46.0
141,141,31.0,31.0
142,142,30.0,30.0
143,143,35.0,35.0
144,144,32.0,32.0
145,145,47.0,47.0
146,146,48.0,48.0
147,147,49.0,49.0
